Adj Close,Open,High,Low,Close,Volume
864.27002,877.530029,877.950012,862.51001,864.27002,17381100
865.799988,865.349976,869.48999,857.380005,865.799988,14032100
894,856,900,855.5,894,31481500
909.679993,895.5,910,890.960022,909.679993,22880800
1024.859985,950.530029,1045.02002,944.200012,1024.859985,62852100
1018.429993,1024.689941,1094.939941,1001.440002,1018.429993,62415000
1037.859985,1039.660034,1070.880005,1030.780029,1037.859985,38526500
1077.040039,1068.310059,1081,1054.199951,1077.040039,27213200
1114,1081.859985,1115.209961,1073.209961,1114,29918400
1208.589966,1145,1209.75,1118.660034,1208.589966,56048700
1172,1159.359985,1208.589966,1146,1172,42737800
1213.859985,1177.329956,1215.390015,1152.619995,1213.859985,34628500
1229.910034,1234.410034,1243.48999,1217,1229.910034,25397400
1222.089966,1228,1239.869995,1208,1222.089966,21628800
1162.939941,1149.790039,1197,1133,1162.939941,33445700
1023.5,1173.599976,1174.5,1011.52002,1023.5,59105800
1067.949951,1010.409973,1078.099976,987.309998,1067.949951,42802700
1063.51001,1102.77002,1104.969971,1054.680054,1063.51001,22396600
1033.420044,1047.5,1054.5,1019.200012,1033.420044,25573100
1013.390015,1017.630005,1031.97998,978.599976,1013.390015,34775600
1054.72998,1003.309998,1057.199951,1002.179993,1054.72998,26542400
1089.01001,1063.51001,1119.640015,1055.5,1089.01001,31445400
1096.380005,1106.550049,1112,1075.02002,1096.380005,20898900
1137.060059,1098.869995,1138.719971,1092.699951,1137.060059,21642300
1156.869995,1162.329956,1201.949951,1132.430054,1156.869995,33072500
1109.030029,1167.51001,1180.5,1062.699951,1109.030029,36171700
1116,1080.390015,1132.77002,1062,1116,22560200
1081.920044,1099.469971,1108.780029,1081,1081.920044,11680900
1136.98999,1100.98999,1142.670044,1100.189941,1136.98999,19464500
1144.76001,1144.369995,1168,1118,1144.76001,27092000
1095,1160.699951,1172.839966,1090.76001,1095,22816800
1084.599976,1099.060059,1113,1056.650024,1084.599976,24371600
1014.969971,1084.790039,1090.579956,1000.210022,1014.969971,30774000
1009.01001,1001.51001,1021.640015,950.5,1009.01001,27221000
1051.75,1044.199951,1057.670044,1026.810059,1051.75,18694900
1068.959961,1052.709961,1072.380005,1033,1068.959961,13968800
1003.799988,1060.640015,1062.48999,1002.359985,1003.799988,19812800
1017.030029,1008.75,1020.97998,982.530029,1017.030029,19888100
966.409973,1001.090027,1005,951.419983,966.409973,26198500
958.51001,945,966.409973,930,958.51001,23602100
975.98999,953.210022,978.75,928.25,975.98999,25056400
926.919983,994.5,994.97998,921.849976,926.919983,27590500
932.570007,914.77002,960.659973,909.039978,932.570007,33479100
899.940002,910.700012,921.690002,893.390015,899.940002,18826700
938.530029,916.869995,939.5,886.119995,938.530029,23839300
1008.869995,965.659973,1015.659973,957.049988,1008.869995,31211400
1067,1006.799988,1072.97998,997.559998,1067,30904400
1093.939941,1073.670044,1117,1070.719971,1093.939941,23715300
1088.469971,1109.48999,1119,1078.420044,1088.469971,20108000
1086.189941,1098.640015,1104,1064.140015,1086.189941,18718000
1070.339966,1061.329956,1095.550049,1053.150024,1070.339966,15680300
1056.780029,1073.439941,1082,1054.589966,1056.780029,13577900
1199.780029,1147.75,1201.069946,1136.040039,1199.780029,34643800
1149.589966,1189.550049,1208,1123.050049,1149.589966,33416100
1088.119995,1146.650024,1170.339966,1081.01001,1088.119995,26706600
1064.699951,1077,1088,1020.5,1064.699951,30112200
1026.959961,1080.369995,1080.930054,1010,1026.959961,28054900
1058.119995,1000,1059.099976,980,1058.119995,30605000
1064.400024,1053.670044,1075.849976,1038.819946,1064.400024,22021100
1106.219971,1078.849976,1114.839966,1072.589966,1106.219971,27913000
1031.560059,1109.069946,1115.599976,1026.540039,1031.560059,32403300
1049.609985,1019.880005,1052,1013.380005,1049.609985,24308100
1030.51001,1026.609985,1070.790039,1016.059998,1030.51001,22247800
995.650024,1041.709961,1054.670044,995,995.650024,25147500
996.27002,1009.72998,1041.660034,994,996.27002,23496200
943.900024,996.340027,1004.549988,940.5,943.900024,34472000
930,904.76001,933.51001,851.469971,930,50521900
918.400024,914.200012,951.26001,903.210022,918.400024,28865300
937.409973,952.429993,987.690002,906,937.409973,34955800
829.099976,933.359985,935.390015,829,829.099976,49036500
846.349976,831.559998,857.5,792.01001,846.349976,44929700
936.719971,872.710022,937.98999,862.049988,936.719971,34812000
